election,competitive_ratio,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,n_candidates,rank_limit,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Minneapolis_11062009_PRBoardDistrict1,0,,,,,,,,,,3,3,0,0,3852.0,1356.0,1990.0,6907.0,True,1356.0,1.573,Liz Wielinski,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4335.0,4335.0,74.204,74.204,1
Minneapolis_11062009_PRBoardDistrict2,0,,,,,,,,,,2,3,0,0,3298.0,94.0,1802.0,5944.0,True,1767.0,1.372,Jon Olson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2874.0,2874.0,56.353,56.353,1
Minneapolis_11062009_PRBoardDistrict3,0,,,,,,,,,,2,3,0,0,3456.0,69.0,1280.0,6160.0,True,1215.0,1.285,Scott Vreeland,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430.0,3430.0,72.424,72.424,1
Minneapolis_11062009_PRBoardDistrict4,0,,,,,,,,,,1,3,0,0,5067.0,0,76.0,7389.0,True,5031.0,1.015,Anita Tabb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5012.0,5012.0,97.453,97.453,1
Minneapolis_11062009_PRBoardDistrict5,0.5261109309114499,,,,,,,,,,5,3,1,0,3465.0,2513.0,4383.0,9382.0,True,2513.0,1.879,Carol Kummer,5,0.0,957.0,0.0,0.0,893.0,0.0,64.0,53.0,11.0,2964.0,3620.0,37.768,52.532,1
Minneapolis_11062009_PRBoardDistrict6,0.24944703858441877,,,,,,,,,,4,3,0,0,4223.0,2124.0,4131.0,10186.0,True,2124.0,1.749,Brad Bourn,4,0.0,548.0,0.0,0.0,548.0,0.0,0.0,0.0,0.0,4023.0,4300.0,48.157,55.086,1
Minneapolis_11062009_Ward10CityCouncil,0,,,,,,,,,,4,3,0,0,1482.0,975.0,1847.0,3431.0,True,975.0,1.848,Meg Tuthill,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2405.0,2405.0,72.244,72.244,1
Minneapolis_11062009_Ward11CityCouncil,0,,,,,,,,,,3,3,0,0,1867.0,510.0,2143.0,4235.0,True,510.0,1.662,John Quincy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2551.0,2551.0,63.616,63.616,1
Minneapolis_11062009_Ward12CityCouncil,0,,,,,,,,,,4,3,0,0,2361.0,1224.0,2357.0,4818.0,True,1224.0,1.759,Sandy Colvin Roy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,3035.0,64.328,64.328,1
Minneapolis_11062009_Ward13CityCouncil,0,,,,,,,,,,3,3,0,0,3427.0,1001.0,2554.0,6059.0,True,1001.0,1.594,Betsy Hodges,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4141.0,4141.0,69.236,69.236,1
