precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
852100,2173.0,420.0,64.0,35.0,763.0,46.0,587.0,258.0
852000,1498.362656,430.79228,35.479677,36.890541,491.88799800000004,19.260759,280.306185,203.745216
852010,1669.876441,428.516839,32.629729,26.72482,610.391756,21.013005999999997,291.331902,259.268389
851600,1021.665078,334.208984,24.260592000000003,9.277343,312.173817,15.0,167.496065,159.248277
830500,2813.7930610000003,239.862583,29.312915,11.0,2384.3046480000003,0.0,51.0,98.312915
830420,1699.92058,67.33213,17.0,1.0,1550.425995,3.0,18.0,43.162455
830430,110.07942,1.66787,0.0,0.0,102.574005,0.0,0.0,5.8375449999999995
822000,1198.790664,139.46776599999998,46.758118,12.567584,887.2794759999999,4.892639999999999,27.117986,80.707094
824000,829.001053,74.000117,45.000091,1.0,593.00065,5.000026,60.000078,51.000091
830100,1189.885464,152.29928,35.059856,2.0,880.320573,3.0,38.104748,79.101007
831100,1856.5776580000002,223.24720399999998,57.99441000000001,9.202942,1311.518489,6.431394,144.894984,103.28823500000001
831000,1823.3975839999998,237.802008,56.931493999999994,7.79709,1237.5106150000001,18.56867,117.065538,147.722169
821800,2490.8939499999997,208.191516,140.855826,21.732862,1747.867818,32.260068000000004,164.527206,175.458654
822300,985.633472,80.974464,44.239360000000005,0.0,776.564864,3.0,17.487232,63.367552
831200,1902.957106,300.906425,49.004537,9.000004,1348.697611,6.000227000000001,44.338613,145.009689
821710,1234.43593,404.716248,55.92118,10.0,485.050726,7.746059,105.413298,165.588419
823620,1155.306366,146.045604,43.61672900000001,10.217168000000001,721.4003379999999,16.919413,87.850967,129.256147
824100,992.998947,86.999883,45.999909,1.0,701.99935,20.999974,48.999922,86.999909
823610,1640.427091,214.39769499999997,90.965902,12.125082,980.735538,18.875998,138.764737,184.562139
821810,1597.105473,106.808442,81.144146,17.267133,1185.1317629999999,14.739930999999999,55.472762,136.541296
831230,2082.299887,339.960084,82.083087,11.0,1390.31277,8.65122,96.661222,153.631504
821730,474.86901,47.831736,46.95326,0.0,199.233582,23.247663,107.448586,50.154183
823500,1789.956341,378.98963200000003,44.998866,54.999109000000004,576.982666,24.999757,450.990361,257.99595
822020,507.0,36.0,19.0,0.0,395.0,4.0,23.0,30.0
822010,1740.627007,193.927337,68.38134699999999,3.0,1284.716555,16.480997000000002,54.775724,119.345047
824500,725.0,59.0,15.0,0.0,587.0,0.0,23.0,41.0
824400,1374.775017,170.997513,68.20188999999999,1.521382,910.2367560000001,12.565604,100.223367,111.02850500000001
824300,1235.5950639999999,200.70440600000003,60.032076999999994,14.478617,690.261569,43.434393,79.77661400000001,146.907388
824600,381.0,23.0,12.0,0.0,303.0,4.0,17.0,22.0
822200,1480.948857,205.630433,43.621175,17.432416,1038.439105,6.6263630000000004,48.619058,120.580307
824200,1071.630333,115.298114,72.766052,2.000005,708.501983,17.000001,43.000032,113.06414600000001
823730,1003.865437,120.03277,48.0,14.619662,552.7179719999999,8.0,121.06554,139.42949299999998
823740,1540.698427,144.721554,58.654024,7.706753,999.06753,37.706753,154.240518,138.601295
